Date,UserID,Text,Sentiment,Confidence,TimeOfDay,Activity
"18/04/2025","995247","I hope the best","neutral",0.70,"Night","now"
"18/04/2025","995247","A ton of bugs to fix, I almost gave up! I am exhausted!","neutral",0.70,"Night","Finishing the CA"
"18/04/2025","995247","Apparently now it is working, so I am happy","positive",0.95,"Morning","Trying"
"18/04/2025","995247","I am so tired!","neutral",0.70,"Night","Sleepy"
"18/04/2025","995247","I feel terrible","neutral",0.70,"Night","Always"
"18/04/2025","995247","I am so stressed","negative",0.90,"Night","ATM"
"18/04/2025","101132","I feel tired","neutral",0.70,"Morning","I don't sleep"
"2025-04-18","101132","I say thanks","Gratitude",1.00,"N/A","Gratitude Entry"
"2025-04-18","101132","I say i am happy","Gratitude",1.00,"N/A","Gratitude Entry"
"18/04/2025","139000","I feel amazing","neutral",0.70,"Night","I am about to sleep"
"18/04/2025","139000","I feel stressed","negative",0.50,"Morning","Beause i havent slept"
"2025-04-18","139000","auhsuahushau","Gratitude",1.00,"N/A","Gratitude Entry"
"2025-04-18","139000","ashudhaudhuasdhaus","Gratitude",1.00,"N/A","Gratitude Entry"
"18/04/2025","467062","I fell great","positive",0.95,"Night","i am alive"
"18/04/2025","467062","i fell bad","neutral",0.70,"Morning","now"
"18/04/2025","467062","nothing","neutral",0.70,"Morning","nohting"
"2025-04-18","467062","hauhauahuah","Gratitude",1.00,"N/A","Gratitude Entry"
"2025-04-18","467062","auahuahuahauha","Gratitude",1.00,"N/A","Gratitude Entry"
"2025-04-18","467062","auahuahuahau","Gratitude",1.00,"N/A","Gratitude Entry"
